label,comment
negative,"thưa , em thực sự rất hài lòng về mức độ bài giảng .
"
positive,"giáo viên nhiệt tình giúp học sinh những phần học sinh không hiểu giáo viên dạy dễ hiểu .
"
negative,"giảng hay , trọng tâm .
"
positive,"giảng viên giảng dạy nhiệt tình , phương pháp dạy hay , chỉ dẫn hiệu quả , bài tập làm nhiều .
"
positive,"giảng viên nhiệt tình , có kiến thức sâu về môn học .
"
negative,"nhất là những bạn nhỏ đến lớn chưa chơi game bao giờ .
"
neutral,"giảng viên cần cải thiện thêm cách truyền đạt .
"
positive,"tận tâm giúp đỡ học sinh , giải đáp thắc mắc .
"
neutral,"em nghĩ nên bỏ môn này .
"
neutral,"giảng viên có trình độ chuyên môn rất tốt .
"
neutral,"nên thực hành theo hình thức 2 .
"
negative,"không biết thầy nào dạy chính thức , thầy nào dạy cũng nhiệt tình .
"
neutral,"thầy dạy có tâm huyết .
"
negative,"cô giúp tụi em tìm ra , phát hiện lỗi và sửa lỗi trong quá trình thực hành .
"
negative,"không hài lòng gì cả .
"
neutral,"em không ý kiến .
"
neutral,"đừng dư quá nhiều .
"
neutral,"các dụng cụ thực hành không được cung cấp đầy đủ .
"
positive,"cố rất nhiệt tình .
"
negative,"thực tế với hiện trạng .
"
neutral,"thầy tiết lộ đệ thi để sinh viên chuẩn bị trước .
"
neutral,"cần thay đổi phòng học để chất lượng được nâng cao hơn .
"
negative,"thầy không dạy thiếu micro nên nhiều lúc em phải đi mượn cho bằng được !
"
positive,"giảng viên không tâm huyết trong việc dạy học .
"
neutral,"máy chiếu và dàn loa không đáp ứng được .
"
negative,"nhiệt tình , giảng dạy hiệu quả .
"
negative,"cô vui tính , quan tâm tới học sinh .
"
neutral,"kiến thức môn anh văn được đáp ứng nhưng không thực tế .
"
negative,"tậm tâm , nhiệt tình , năng động , công bằng .
"
positive,"giảng viên dạy dễ hiểu nhiệt tình .
"
positive,"nhiệt tình , dễ chịu .
"
neutral,"khả năng truyền tải kiến thức .
"
neutral,"máy chiếu phòng học quà mờ , đề nghị nên thay đổi .
"
positive,"giảng viên nhiệt tình , có chăm lo kiến thức cho học sinh , dạy kiến thức nhanh chóng nắm bắt .
"
neutral,"cần thêm phần dạy lập trình căn bản bằng ngôn ngữ c .
"
neutral,"qua môn học này tôi còn không biết được mình học được những gì .
"
positive,"thầy dạy thú vị nói chung là ok .
"
neutral,"nên chia thành nhiều phần để đánh giá sinh viên chứ không tập trung vào cuối kỳ : 50% giành cho kiến thức cơ bản, một hình thức nào đó để buộc sinh phải có kiến thức về dotnet nắm về nguyên lý của nó , về cách tổ chức , cách thiết kế và sử dụng .
"
neutral,"nghỉ học nhưng không thông báo cho sinh viên biết .
"
positive,"nhiệt tình và đưa nhiều ví dụ .
"
neutral,"thầy chưa chú trọng đến nội dung cũng như cách truyền đạt cho sinh viên .
"
neutral,"listening .
"
neutral,"nội dung thực hành nên bám sát với lý thuyết .
"
neutral,"chưa tìm ra .
"
positive,"vui vẻ giảng dạy nhiệt tình .
"
positive,"các khoa khác đều có điểm thi giữa kỳ môn vậy rồi mà sao giờ này , gần thi cuối kỳ rồi mà khoa wzjwz12 chưa có điểm .
"
negative,"nhiệt tình , luôn đảm bảo giờ giấc sinh hoạt ở lớp .
"
neutral,"nên tạo động lực để sinh viên tham gia năng nổ đóng góp buổi học .
"
neutral,"bài về nhà quá khó .
"
positive,"cô nên giảng bài nhiều hơn .
"
positive,"có buổi hướng dẫn cho sinh viên trước khi làm đồ án .
"
negative,"không ý kiến , phương pháp của thấy rất hài lòng ạ .
"
neutral,"tác phong làm việc nghiêm túc , chuyên nghiệp .
"
positive,"giáo viên tận tâm , nhiệt tình , dễ tính .
"
positive,"giảng viên rất vui vẻ , phương pháp của thầy giúp sinh viên chủ động học tập .
"
positive,"thầy nên dạy kỹ , và chậm hơn để sinh viên dễ tiếp thu .
"
positive,"giảng viên đúng giờ .
"
negative,"giảng viên cho bài tập về nhà để không quên bài .
"
negative,"hầu như không có vấn đề gì không hài lòng .
"
negative,"thầy cô dạy cho về quá sớm .
"
neutral,"nếu kết thúc thực hành sớm .
"
positive,"chúc thầy vui và sống khỏe .
"
positive,"thầy duy giảng dạy rất hiệu quả và nhiệt tình .
"
positive,"giảng viên nên làm từng bước chi tiết hơn là chiếu slide rồi nói .
"
positive,"cô dễ chịu , dạy kỹ .
"
negative,"không được tận tâm , nhiệt tình .
"
positive,"giảng dạy nhiệt tình , vui vẻ , hài hước tạo cảm giác hứng thú cho sinh viên trong giờ học .
"
negative,"ra thêm những bài tập khó hoặc lạ giúp học sinh kiếm thêm điểm để tăng hứng thú môn học khuyến khích hoạt động phát biểu trong giờ học .
"
positive,"thầy ôn rất kỹ .
"
positive,"giảng dạy rất nhiệt tình , cung cấp tài liệu đầy đủ .
"
positive,"mong rằng cô sẽ điều chỉnh để sinh viên có thể dễ dàng theo dõi bài giảng hơn .
"
positive,"và thầy lại tiếp tục làm công việc của thầy .
"
negative,"chuẩn bị bài giảng hoặc bài tập thật kỹ trước khi lên lớp giảng dạy .
"
neutral,"giảng bài hơi chậm .
"
positive,"cô dạy không có thể chê được bất kỳ điểm nào , vừa nói chuyện vui mà lại đây hay .
"
neutral,"đưa ra các chỉ tiêu tính điểm cụ thể .
"
positive,"thầy rất nhiệt tình hướng dẫn trong khi thực hành .
"
positive,"cô vui tính , nhiệt tình .
"
negative,"thầy dạy giỏi chu đáo .
"
positive,"bài giảng thực hành rất chi tiết .
"
positive,"cô giảng dạy nhiệt tình , giúp sinh viên hiểu rõ kiến thức .
"
neutral,"giảng viên thân thiện , hoà đồng , khả năng truyền đạt tốt .
"
positive,"cô dạy rất hay và rất thực tế bài học .
"
negative,"để học sinh của mình không có gì sau kết thúc môn phải chăng đó không là thất bại !
"
neutral,"có lịch học bù đã tự sắp .
"
positive,"cô rất vui vẻ .
"
neutral,"học anh văn không nên quá theo một khuôn mẫu .
"
positive,"giảng viên nhiệt tình và vui tính .
"
negative,"giảng viên nhiệt tình với sinh viên .
"
negative,"kiểm tra với mức độ vừa phải với yêu cầu của môn học !
"
positive,"cô dễ thương , dễ tính , giảng dễ hiểu .
"
positive,"thầy cực kỳ tận tâm nhiệt tình , giảng bài rất dễ nhớ .
"
neutral,"các nhóm có cùng đề tài 'abc' cùng vào báo cáo một lượt cho lẹ !
"
positive,"giảng viên giảng bài không tạo được sự hứng thú cho sinh viên khi học , nên thường phải áp dụng phương pháp của các giáo viên dạy môn chính trị như : không cho sử dụng điện thoại , laptop trong lớp , điểm danh hoặc gọi tên để trả lời câu hỏi .
"
positive,"thầy tận tình , có cách giảng giải sinh động và chủ động trong việc tìm hiểu sinh viên .
"
negative,"thầy đưa ra phương pháp làm bài cụ thể , dễ hiểu .
"
positive,"thầy giảng rất hay !
"
negative,"một số bài thầy giảng còn khó hiểu , ít sát thực hành và ít sửa bài tập về nhà .
"
neutral,"giảng viên không có kỹ năng sư phạm cao .
"
negative,"chất lượng phòng lab kém , nhiều máy không sử dụng được hoặc phần mềm bị lỗi , không thực hành được .
"
neutral,"nên xác định điểm quá trình tốt hơn tránh để gian lận .
"
positive,"giảng viên dạy tận tâm dễ hiểu .
"
positive,"trao đổi bài học tại lớp rất sôi động .
"
positive,"em nghĩ là cô truyền cảm hứng rất hay .
"
positive,"cô giảng rất đều tai , rất dễ buồn ngủ .
"
positive,"vui tính dạy khá dễ hiểu .
"
neutral,"cần phân bố lại thời gian lên lớp , đừng kéo dài thời gian khi đã hết buổi học .
"
positive,"sự nhiệt tình giảng dạy của giảng viên .
"
positive,"cô giảng dạy khiến sinh viên cảm thấy chán , buồn ngủ .
"
negative,"giảng dạy không hiệu quả .
"
neutral,"nên tăng thêm thời lượng về kỹ năng nghe , nói .
"
neutral,"khiến sinh viên cảm thấy nản .
"
neutral,"tích cực , nhiệt huyết .
"
negative,"hy vọng có nhiều phương pháp mới để sinh viên hiểu sâu được vấn đề .
"
positive,"em rất quý cô cũng như toàn thể các giảng viên trong trường nhưng em phải nói với thầy một điều chân thành rằng em cảm thấy việc điểm danh khi đi học là không hiệu quả .
"
negative,"thời gian các tiết thực hành cần phân bổ phù hợp với thời gian lý thuyết vì thường thì những bài thực hành đi sớm hơn so với bài lý thuyết kể từ những tuần khoảng giữa nên giảng viên hỗ trợ thực hành không thể cho sinh viên thực hành phần đó .
"
neutral,"dạy ít , sinh viên chủ yếu nghe sinh viên báo cáo .
"
negative,"tận tâm với sinh viên và tạo mọi cơ hội cho tất cả sinh viên .
"
negative,"đảm bảo phần kiến thức cho sinh viên đạt được .
"
neutral,"có đưa ra ví dụ cụ thể .
"
neutral,"giảng dạy có logic và có sự chuyên tâm của giáo viên nên em không có ý kiến gì thêm .
"
negative,"giảng viên quá bận với công việc của mình , không đảm bảo được nội dung môn học , chưa cung cấp tài liệu liên quan đến môn học , chưa tận tâm .
"
positive,"nhiệt tình , giảng dạy tốt .
"
positive,"truyện đạt kiến thức dễ hiểu dễ tiếp thu , gần gũi , nhiệt tình .
"
neutral,"dù một tuần chỉ có 2 tiết nhưng thầy đã tận tình giảng dạy .
"
negative,"giảng viên gần như không biết truyền đạt kiến thức sát với lý thuyết , ra bài tập không bám sát kiến thức .
"
negative,"em mong thầy cô cho sinh viên nhiều mẫu câu thông dụng để sinh viên học thuộc từ đó rèn luyện phản xạ tự nhiên trong giao tiếp !
"
negative,"tương tác tốt với sinh viên ở trên lớp .
"
negative,"lên lớp muộn .
"
positive,"thầy dạy bằng tiếng anh .
"
positive,"bài tập và tài liệu hướng dẫn học tập mà thầy cung cấp thực sự rất đầy đủ đối với em .
"
positive,"thầy có một nền tảng kiến thức rất phong phú , em được học rất nhiều từ thầy .
"
positive,"nên hướng dẫn giải các bài tập cơ bản của môn học .
"
positive,"thầy nên giảng bài sinh động hơn thay vì ngồi một chỗ .
"
neutral,"hình dung chưa ?
"
positive,"thầy dạy dễ hiểu , nắm rõ kiến thức .
"
positive,"nhìn chung cô dạy khá là nhanh bạn nào có tư duy , logic không được tốt thì sẽ không hiểu cô nói .
"
negative,"nhiệt tình trả lời các câu hỏi của sinh viên .
"
negative,"em cảm thấy không có gì không hài lòng cả vì thầy dạy hay .
"
negative,"mỗi một vấn đề đều phải dừng lại hỏi xem còn sinh viên nào có cách khác không , hay đơn giản là cách hiểu khác trên cùng một vấn đề .
"
negative,"tất cả điều hài lòng .
"
positive,"cô dễ thương siêu cute !
"
positive,"giảng viên vui vẻ , hòa đồng với sinh viên , tạo cảm giác hứng thú học tập hơn .
"
positive,"thầy hướng dẫn rất tận tình .
"
positive,"cả hai thầy đều rất nhiệt tình .
"
positive,"thầy giải đáp thắc mắc của sinh viên nhiệt tình và đầy đủ , kiến thức nhiều và phong phú .
"
negative,"thầy chưa tận tâm trong giảng dạy .
"
positive,"giảng viên dạy dễ hiểu .
"
negative,"nên hướng dẫn kỹ lưỡng vào những vấn đề trọng tâm .
"
neutral,"triển khai srum cho tổ hợp nhóm nhỏ chừng 15 người , 1 nhóm 5 người .
"
negative,"vì đôi khi tụi em theo bài không kịp .
"
positive,"thầy vui tính , rất tâm lý sinh viên .
"
neutral,"nên phát hết các bài kiểm tra còn lại .
"
positive,"dạy kỹ căn bản rèn luyện cả 4 kỹ năng .
"
negative,"bài tập cho cho đa dạng để sinh viên dễ dàng tiếp thu được nhiều loại bài tập và kiến thức khác nhau .
"
neutral,"đôi lúc giảng viên nói quá nhỏ không thể nghe thấy rõ .
"
neutral,"không nên quá chú trọng vào việc dạy học chạy kịp chương trình để thi mà quên đi khả năng tiếp thu của sinh viên .
"
neutral,"thầy chấm và nhận xét đồ án rất chính xác .
"
negative,"dễ buồn ngủ .
"
negative,"phòng thưc hành cần thường xuyên vệ sinh , sửa chữa thiết bị , bị lỏng , đứt , hay hư hỏng .
"
neutral,"tích cực .
"
positive,"tận tâm , nhiệt tình , tiết học vui vẻ dễ tiếp thu .
"
neutral,"giảng viên thường xuyên trao đổi tài liệu học tập , giảng viên tích cực .
"
negative,"sự tận tâm .
"
neutral,"đúng như vậy luôn hi hi .
"
positive,"phần thi nói giữa các lớp không thống nhất về hình thức và nội dung .
"
negative,"nếu em muốn học , em sẽ lên lớp học .
"
negative,"sửa chữa hoặc thay mới máy chiếu và loa nguyên nhân : máy chiếu , chiếu hình ảnh bị nhạt màu , loa hay có trục trặc .
"
positive,"thầy thân thiện , nhiệt tình , giảng dễ hiểu .
"
negative,"thầy năng nổ , nhiệt tình .
"
neutral,"trên slide có quá nhiều chữ ( có vẻ như thầy dịch từ tài liệu gốc là chính ) , và thầy đọc slide , giải thích định nghĩa nhiều nhưng rối và không có gì để hình dung làm cho sinh viên khó hình dung ra thầy đang giảng gì .
"
positive,"giảng viên rất tận tâm , nhiệt tình , gần gũi sinh viên .
"
positive,"thầy giảng dạy nhiệt tình , cung cấp đầy đủ kiến thức .
"
neutral,"phòng lab thực hành cơ bản vẫn còn thiếu chất lượng , máy yếu , trường mình vẫn còn xài màn hình crt nản , mang danh trường công nghệ thông tin .
"
neutral,"giảng viên cung cấp khá đầy đủ kiến thức .
"
negative,"giáo viên ít hướng dẫn bài tập về nhà .
"
neutral,"khi nói xong một ý nên có khoảng nghỉ để người nghe kịp tiếp thu thì hiệu quả hơn .
"
positive,"cô dạy quá chi tiết ở một số mục , có một số mục em cảm thấy dễ nhưng cô lại dạy quá lâu ở mục đó làm cho tốn khá nhiều thời gian và gây chán nản .
"
negative,"liên hệ sát với thực tế .
"
negative,"khối lượng lý thuyết và thực hành phải học quá ôm đồm trong một môn học .
"
negative,"thầy hiền và nhiệt tình với sinh viên .
"
positive,"nên sử dụng giáo trình tiếng việt , nếu dùng tiếng anh thì nên dùng lúc ra đề luôn , tránh trường hợp anh việt lẫn lộn .
"
positive,"cô dễ thương quá .
"
positive,"luôn giải đáp mọi thắc mắc của sinh viên .
"
negative,"thầy liên hệ khá nhiều về thực tiễn cuộc sống .
"
negative,"nhiều ví dụ minh hoạ , dễ hiểu .
"
positive,"thầy vui tính dạy dễ hiểu .
"
positive,"dạy tốt , dễ hiểu .
"
negative,"khả năng truyền đạt kiến thức của thầy chưa hay ( kém ) chưa lôi cuốn được sinh viên kể cả so sánh với em , một sinh viên năm 2 .
"
neutral,"các buổi học không liên tục , kiến thức kiểu chắp vá .
"
neutral,"hệ thống máy tính còn yếu kém .
"
neutral,"cần được tăng cường thực hành và traning thêm môn học .
"
positive,"giảng bài kỹ .
"
negative,"cho làm bài tập vận dụng kiến thức thường xuyên .
"
negative,"tận dụng tốt thời gian , nhiệt tình , hiền .
"
positive,"giảng viên dạy kỹ , dễ hiểu .
"
positive,"thầy tôi dạy rất hay và chia sẻ rất nhiều .
"
positive,"thầy giảng khó hiểu , phương pháp giảng dạy cũ kỹ .
"
neutral,"giáo viên giảng hơi khó hiểu ạ .
"
neutral,"đề xuất nhà trường hằng tuần có một buổi lau dọn các bàn ghế này .
"
neutral,"cần xác định rõ mục tiêu thực tế của môn học ứng dụng vào việc gì .
"
negative,"giảng dạy ngắn gọn , súc tích , đánh vào phần trọng tâm .
"
positive,"giảng viên nên đảm bảo lên lớp đúng giờ và cập nhật bài giảng lên hệ thống moodle thường xuyên hơn .
"
negative,"giáo trình hiện tại khá trừu tượng và khó hiểu , kiến thức khá khó với những lý thuyết căn bản mà sinh viên có thể hiểu .
"
positive,"giảng viên dạy dễ hiểu , tương tác với sinh viên nhiều và có nhiều hình thức tính điểm ( điểm bài tập trên lớp , bài tập về nhà , kiểm tra tại lớp , ... ) .
"
positive,"nhiệt tình , vui vẻ , cung cấp kiến thức hay .
"
positive,"giảng viên dạy rất dễ hiểu , nhiệt tình .
"
positive,"cung cấp công cụ giảng dạy tốt hơn .
"
positive,"thầy dạy nhiệt tình , có trợ giảng năng nổ .
"
negative,"về học tập : bản thân em không đồng ý về điểm thuyết trình và bài báo cáo .
"
positive,"giảng dạy dễ hiểu , tận tình .
"
negative,"giáo viên cần lên lớp thường xuyên hơn và dạy những kiến thức thiết thực với môn học hơn .
"
neutral,"gần gũi , tốt bụng .
"
neutral,"cần mở rộng thêm các kỹ thuật hướng đối tượng mới hiện nay .
"
neutral,"hăng say , nhiệt tình .
"
neutral,"mong phòng phòng thanh tra - pháp chế - đbcl có biện pháp xử lý .
"
neutral,"điều chỉnh số tín chỉ cho môn từ 3 tín chỉ thành 2 tín chỉ .
"
negative,"cô tận tâm nhiệt tình , quan tâm đến học sinh nhiều hơn là điểm số .
"
positive,"giảng viên dạy lý thuyết nên dạy thực hành để giúp sinh viên làm rõ những kiến thức trong lý thuyết .
"
neutral,"giảng viên nhiệt tình , có khả năng truyền đạt tốt .
"
negative,"truyền đạt nhiều kiến thức mở rộng .
"
neutral,"4 tín chỉ học phần là quá ít cho các kiến thức về javabeans , jsp , servlet , html , c# .
"
positive,"cách giảng dạy của giảng viên thật khó có thể làm cho sinh viên hiểu rõ vấn đề .
"
positive,"trong khi chương trình quy định 2 tiết cho một bài .
"
positive,"nói chuyện dễ hiểu , dễ tiếp thu .
"
neutral,"học một đàn ra thi một nẻo , thi đúng với nội dung môn học .
"
neutral,"truyền đạt kiến thức dễ hiểu .
"
negative,"cần phải thiết kế nội dung thực hành gắn với lý thuyết , nâng độ khó lên , cần áp dụng các lý thuyết hiện đại thay vì các lý thuyết đã cũ từ mấy chục năm trước .
"
positive,"giảng viên vui nhiệt tình .
"
positive,"giảng viên đầy nhiệt huyết , gần gũi với sinh viên , bài giảng sinh động .
"
neutral,"giảng viên mỗi lần lên lớp đều nói "" các em cần gì cứ mail thầy sẽ hỗ trợ "" nhưng không bao giờ trả lời mail sinh viên , sinh viên phải lên đến tận văn phòng khoa để tìm gặp .
"
neutral,"cung cấp cho sinh viên nhiều kiến thức thực tiễn .
"
positive,"thầy giảng quá khó hiểu .
"
negative,"hay nghỉ .
"
positive,"giảng viên áp dụng nhiều phương thức giảng dạy mới .
"
negative,"cập nhật kiến thứ trong các slide , những phương pháp mới .
"
neutral,"giảng viên thường hay đến lớp muộn 15 phút .
"
neutral,"em nghĩ nên kết hợp thực hành vào chung một buổi .
"
neutral,"bài tập làm thêm .
"
negative,"mới gặp một lần !
"
negative,"cập nhật tin tức môn học trên các kênh thông tin course và cung cấp các tài liệu trên đó .
"
positive,"em thi giữa kỳ được 9dot5 điểm .
"
positive,"buổi đầu tiên là một bài thực hành đơn giản , buổi thứ 2 chia nhóm và thông báo đề tài đồ án cuối kỳ , buổi thứ 3 là chấm đồ án .
"
positive,"em rất thích , em là một đứa không thích học môn xã hội nhưng học cô em rất thích nghe giảng .
"
positive,"giáo viên truyền đạt nội dung bài học rất hay , rất dễ hiểu và dễ tiếp thu .
"
negative,"thầy còn chia sẻ các phương pháp học cho sinh viên .
"
positive,"thầy giảng hay .
"
negative,"hướng dẫn tận tình cho sinh viên .
"
positive,"lịch học trùng với lịch học môn khác có điểm danh từng buổi nên hầu như nhóm học của em không bạn nào học được 1 buổi nào .
"
positive,"giảng viên kết hợp giải bài tập để giảng lý thuyết .
"
negative,"tìm hiểu về các case study giúp chúng em biết thêm nhiều kiến thức mới và trình bày sản phẩm của mình trước lớp để thấy những thiếu sót của mình .
"
negative,"thầy hay chém gió .
"
positive,"mong thầy giải bài tập nhiều hơn là nói toàn là lý thuyết .
"
negative,"nên khắc phục tình trạng giảng viên không lên lớp , vì như vậy làm mất nhiều thời gian cho sinh viên tụi em .
"
negative,"thầy ít giảng chủ yếu là cho chép vào vở .
"
positive,"thầy nguyên dạy rất nhiệt tình , tận tâm :) .
"
positive,"giáo viên dạy dễ hiểu , tận tình hướng dẫn sinh viên .
"
positive,"thầy dạy đúng yêu cầu buổi học .
"
negative,"cô tận tâm .
"
positive,"cô truyền đạt còn khó hiểu .
"
positive,"giảng viên vui tính , nhiệt tình và có những phương pháp làm bài tập nhóm mới lạ , hấp dẫn .
"
negative,"dạy hơi nhanh à nha , tiết bài tập chưa tốt .
"
positive,"giảng dạy hay .
"
neutral,"em nghĩ nên tạo ra thêm một số ràng buộc để sinh viên đi học đầy đủ hơn .
"
neutral,"thầy có phần demo code giúp sinh viên dễ hiểu .
"
negative,"phân phối bài tập hợp lý .
"
positive,"cô vừa hiền vừa xinh lại còn dạy dễ hiểu .
"
positive,"nhưng thầy rất nhiệt tình giảng lại và đứng chỉ lại .
"
positive,"nhiệt tình , phong cách dạy dễ hiểu .
"
positive,"giáo viên lý thuyết và trợ giảng không có sự liên hệ với nhau dẫn đến mỗi người dạy một kiểu .
"
neutral,"thành vòng tuần hoàn đến khi thi .
"
negative,"không gặp mặt .
"
positive,"vui vẻ , hòa đồng , linh động .
"
neutral,"cần cập nhật kiến thức sâu hơn .
"
positive,"thầy giảng hơi nhanh và có nhiều chỗ còn khó hiểu .
"
neutral,"cần nâng cấp máy trong phòng máy thực hành vì cấu hình hơi yếu và phòng học không nóng và bụi thì tốt hơn .
"
positive,"thầy nhiệt tình dạy dễ hiểu .
"
neutral,"em thấy nội dung kiểm tra chưa phù hợp , chương trình học quá nặng .
"
positive,"không hoàn toàn hài lòng với cách giảng dạy của thầy .
"
negative,"nội dung chưa được truyền đạt đến sinh viên theo cách hấp dẫn , trực tiếp mà nhàm chán , dễ gây tâm lý bối rối với nhiều kiến thức liên kết rời rạc .
"
neutral,"vui .
"
positive,"nhiệt tình và vui vẻ với sinh viên , giảng bài kỹ .
"
negative,"thầy rất thường xuyên kể về các câu chuyện cá nhân mặc dù không sinh viên nào yêu cầu và quan tâm .
"
neutral,"nên cập nhật giáo trình đầy đủ , nội dung môn học nên cải tiến , phần thực hành nên hiệu chỉnh để thống nhất với lý thuyết .
"
neutral,"không ý kiến thêm .
"
positive,"theo ý kiến của em : nếu như đầu ra tốt nghiệp là bằng cấp theo các chương trình ngoại ngữ bằng cấp toeic hay ielts thì em nghĩ là nên để phần đó cho các bạn sinh viên tự lo vì học av1 , av2 , av3 rồi lại phải học thêm mấy cái toeic với ielts thì mất một khoảng thời gian .
"
negative,"mong ở những môn học tới , với kiến thức và kinh nghiệm của mình thêm với sự tương tác và sắp xếp thời gian , thầy sẽ mang đến những tiết học bổ ích và hiệu quả nhất cho học viên của mình .
"
positive,"cứ mặc kệ mấy cái báo cáo nhảm nhỉ của cái đợt hợp vừa rồi , cá nhân em rất thích được học với thầy .
"
neutral,"thầy nói hơi nhỏ và đều đều nên rất dễ buồn ngủ .
"
neutral,"em không thể đi học môn wzjwz75 , nên học kỳ này sẽ nợ môn này .
"
negative,"ra đề thực hành sát với nội dung ôn tập .
"
positive,"giảng viên truyền đạt tốt , rất dễ hiểu .
"
positive,"dạy nhiệt tình nên hay lấn giờ quá tiết .
"
negative,"thầy sử dụng thời gian dạy tốt .
"
positive,"tài liệu và giảng viên nhiệt tình .
"
positive,"thầy giúp sinh viên luyện tập rất nhiệt tình .
"
negative,"kiến thức truyền đạt còn ít , thời gian lên lớp thường trễ .
"
neutral,"em nghĩ nên thi thực hành thay vì lý thuyết cuối kỳ .
"
positive,"khi sinh viên nhờ thầy giải một bài tập để làm mẫu nhưng không nhận được bất kỳ bài giải nào từ thầy .
"
neutral,"thời lượng thi ít khiến nhiều câu bỏ trống .
"
positive,"cách thầy dạy môn này trong kỳ trước em không được biết chỉ được nghe từ các bạnem đã cảm thấy vui khi được học với thầy .
"
positive,"cô giáo rất tận tình và có phương pháp giảng dạy rất tốt đối với sinh viên .
"
neutral,"dùng lời lẽ để ép buộc sinh viên .
"
neutral,"nên rút gọn kiến thức lại .
"
negative,"thầy không chú trọng đến kết quả tốt hay không mà khuyến khích sinh viên làm việc hết khả năng của mình .
"
neutral,"không có hoạt động không hài lòng .
"
neutral,"có nhiều nội dung liên quan tới thực tiễn , có thể áp dụng vào thực tế sau này .
"
negative,"thầy vui tính , thường xuyên cho bài tập cho sinh viên .
"
positive,"giáo viên lên lớp đầy đủ , tận tâm , nhiệt tình trong giảng dạy .
"
positive,"phương pháp giảng dạy ( cụ thể là cách truyền đạt ) của thầy đơn giản , dễ hiểu và hiệu quả .
"
neutral,"thầy có đi dạy trễ .
"
positive,"có thể nói học nhập môn lập trình gặp được cô là một điều vô cùng may mắn , cảm ơn cô nhiều .
"
neutral,"cô wzjwz195 thật tuyệt vời .
"
negative,"thầy thường xuyên nghỉ mà không thông báo .
"
positive,"cách giảng dạy đơn giản , ngắn gọn nhưng dễ tiếp thu .
"
positive,"giảng dạy chi tiết , dễ hiểu .
"
neutral,"phòng học oi bức .
"
negative,"thầy rất hay nói thêm về các tài liệu tiếng anh , các kiến thức mà sách tiếng việt không đề cập , bổ sung nhiều kiến thức hay cho sinh viên .
"
negative,"phòng thực hành khoa wzjwz70 máy hư tùm lum , không hiểu sao phòng thực hành mấy khoa khác như wzjwz71 , wzjwz72 đầu tư mới với tốt hơn nhiều .
"
negative,"tên thầy dài quá nhưng em nhớ nó như một món quà dành cho thầy .
"
positive,"luôn quan tâm sinh viên , dạy kiến thức hay , dễ hiểu .
"
positive,"thầy giảng dạy nhiệt tình , tận tụy , tận tình hướng dẫn .
"
neutral,"mong các môn thực hành cách tuần sẽ chuyển thành hàng tuần .
"
positive,"giải đáp thắc mắc cho các bạn sinh viên .
"
positive,"chúc thầy tràn đầy sức khỏe và giảng dạy thật tốt trong các kỳ tiếp theo !
"
negative,"phương pháp giảng dạy giúp sinh viên nắm bắt được nhiều lỗi sai trong bài .
"
negative,"bài học liên quan tới thực tế .
"
neutral,"giảng viên thường xuyên đưa bài tập lên bảng để vừa giảng vừa tạo ra cuộc thảo luận .
"
negative,"thầy cho bài tập về nhà hàng tuần .
"
positive,"cho cái nhìn về môi trường bên ngoài doanh nghiệp .
"
positive,"cách dạy và cách nói chuyện của thầy rất thu hút , giúp em tập trung vào bài học rất dễ .
"
neutral,"giảng viên nên giảng nhiều hơn chứ không nên để sinh viên lên làm bài tập .
"
negative,"thầy giảng đúng trọng tâm đề dễ hiểu .
"
neutral,"đi học hay không đi học cũng như nhau .
"
negative,"cho bài tập đầy đủ .
"
negative,"cô cho bài tập về nhà , deadline cuối mỗi chương , bài tập mỗi chương giúp tụi em nắm vững kiến thức của môn học này .
"
positive,"rất thích cách xét công tâm của cô .
"
negative,"cô dạy khó hiểu , phức tạp hóa vấn đề .
"
positive,"cách cô sắp xếp sinh viên khi thi giữa kỳ rất lộn xộn .
"
negative,"nhiều nội dung môn học bị bỏ qua .
"
negative,"thầy dạy nhiệt tình dễ hiểu , cho làm nhiều bài tập hay thú vị .
"
positive,"thầy rất vui tính , tận tâm và có một vốn kiến thức rất phong phú .
"
neutral,"thầy dạy tương đối ổn , có tính thực tế .
"
positive,"cung cấp đầy đủ và cập nhật giáo trình và tài liệu phục vụ môn học hơn .
"
positive,"thầy rất vui tính , nói chuyện cũng vậy .
"
negative,"cô rất quan tâm tới sinh viên .
"
negative,"thầy dạy rất nhiệt tình nhưng bị lố giờ nhiều quá , môn học có 4 tiết nhưng lúc nào cũng gần như là 5 tiết .
"
positive,"giảng dạy nhiệt tình và kỹ lưỡng .
"
negative,"toàn phải đi học ké lớp khác .
"
neutral,"truyền đạt hay giúp học sinh dễ hiểu !
"
positive,"phương pháp giảng bài của thầy khiến sinh viên dễ dàng tiếp thu được kiến thức .
"
positive,"bài thi phải sát hơn và thêm phần thi nói để kiểm tra và xếp loại đầu vào .
"
neutral,"khi hỏi thì giảng viên nói rằng đến lớp nhưng không thấy ai .
"
neutral,"nếu được thì rút ngắn thời gian học mỗi môn học trong một học kỳ thành 7 tuần 2 buổi tuần hay học theo hình thức "" cuốn chiếu "" các môn học trong một học kỳ .
"
negative,"thầy đưa nhiều bài tâp !
"
neutral,"sửa bài kỹ càng .
"
positive,"giảng dễ hiểu , nhiệt tình trong công tác giảng dạy .
"
negative,"em thích cách ra đề của thầy .
"
negative,"thời gian vào lớp đúng giờ .
"
